closedprices,olhc4_filter,olhc4_filter2
7247.4,7249.142973706884,7246.9749010978
7247.4,7248.977173469017,7247.089744206889
7244.2,7248.522745215528,7246.3090618586775
7245.7,7248.254231797152,7246.144520014142
7248.9,7248.3156604470605,7246.888930049009
7247.9,7248.2761207794665,7247.162076876906
7248.4,7248.287904780654,7247.496509498429
7247.9,7248.251005368661,7247.60551496386
7248.7,7248.293715947933,7247.901196895174
7249.4,7248.398951132066,7248.306107864315
7250.4,7248.5893007494915,7248.87178583176
7253.4,7249.04691814033,7250.095111017995
7253.4,7249.461004712571,7250.98794730603
7255.9,7250.0735136368685,7252.314968854347
7255.9,7250.627757697535,7253.2834872880985
7255.9,7251.129279335178,7253.99035445066
7257.4,7251.72578114913,7254.911491376094
7256.7,7252.1989533291935,7255.394668090828
7257.9,7252.741264948915,7256.071499068891
7259.7,7253.403214077677,7257.0517611352125
7258.4,7253.878532948652,7257.415996239622
7255.7,7254.051799859787,7256.952409195939
7253.4,7253.989797448983,7255.992703784546
7251.9,7253.7910056297105,7254.8870344338
7253.4,7253.753811249693,7254.485302844242
7255.7,7253.93894230271,7254.813460826413
7259.4,7254.458424990052,7256.05254287515
7261.2,7255.0997167868445,7257.443160392771
7260.7,7255.632443290519,7258.323015843733
7261.4,7256.181081672481,7259.154282227379
7259.2,7256.468256042827,7259.166633167645
7259.7,7256.775675434588,7259.310725530612
7261.4,7257.215563948049,7259.875156006822
7262.7,7257.737270499554,7260.638305159147
7263.4,7258.275937201435,7261.384394175698
7262.2,7258.6492133689635,7261.604735155572
7259.2,7258.701606904265,7260.955081015388
7258.9,7258.720479032017,7260.399888113181
7260.4,7258.8802433330475,7260.3999183401
7261.7,7259.148472465973,7260.751143476463
7261.9,7259.4102113079525,7261.0615142028455
7261.2,7259.580464817631,7261.098927001202
7261.7,7259.782085436472,7261.261310605616
7258.9,7259.698177128154,7260.62338787735
7258.4,7259.574688130132,7260.022725830884
7258.2,7259.443921029017,7259.530305125132
7257.9,7259.297055661599,7259.089868068331
7261.9,7259.544660538689,7259.84904266585
7261.4,7259.721149560179,7260.268043424018
7262.4,7259.975974999243,7260.84400473646
7262.4,7260.206560188299,7261.264366522548
7261.9,7260.367648518252,7261.436086854955
7257.2,7260.066326200117,7260.291681677061
7257.2,7259.793667143983,7259.456444666874
7256.9,7259.518407282697,7258.765805259812
7255.4,7259.126644111279,7257.856512060923
7257.7,7258.990934701511,7257.814229355432
7257.2,7258.820572177772,7257.648291479548
7258.4,7258.780565282178,7257.851370205864
7255.9,7258.506551734474,7257.324195423089
7254.9,7258.163478782142,7256.66928397075
7256.2,7257.976703016197,7256.5425039909205
7255.9,7257.779156803821,7256.368927546621
7255.2,7257.533814714103,7256.053134508674
7253.9,7257.188148372961,7255.471451846161
7253.9,7256.875363515549,7255.046914368263
7253.4,7256.544769832306,7254.601990221256
7254.7,7256.36928624595,7254.628468171808
7252.4,7255.991708201517,7254.026433652236
7249.9,7255.412234934169,7252.911651968208
7248.9,7254.792759094189,7251.82787926913
7248.9,7254.232210845152,7251.036894496964
7245.9,7253.439609938649,7249.64913053888
7243.9,7252.532155287587,7248.09596721094
7242.7,7251.596872283033,7246.6382131498485
7239.2,7250.417620774407,7244.628733662192
7238.7,7249.302983012538,7243.027049434818
7242.9,7248.693899753079,7242.992726240787
7242.2,7248.07616804577,7242.778566322525
7244.7,7247.75501032385,7243.297653566194
7243.9,7247.38830276759,7243.4603811969855
7244.9,7247.151603160979,7243.849303159347
7248.2,7247.251331828487,7245.024670936819
7246.4,7247.17034895473,7245.3962246266055
7239.9,7246.478757577698,7243.911385401886
7243.2,7246.1668660189525,7243.719200216532
7243.7,7245.932205581383,7243.714013158767
7245.2,7245.862554582586,7244.115461734686
7243.9,7245.6758667310505,7244.05725340864
7243.2,7245.440350101445,7243.825661075148
7240.9,7245.008449652317,7243.035275561865
7239.4,7244.474946316754,7242.053183286962
7237.9,7243.849505061399,7240.931175022947
